"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libnl","3.12.0","LGPL-2.1+","COPYING","libnl-3.12.0.tar.gz","https://github.com/thom311/libnl/releases/download/libnl3_12_0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"htop","3.5.1","GPL-2.0+","COPYING","htop-3.5.1.tar.xz","https://github.com/htop-dev/htop/releases/download/3.5.1","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"iw","6.17","ISC","COPYING","iw-6.17.tar.xz","https://cdn.kernel.org/pub/software/network/iw","gcc-final [GPL-3.0-with-GCC-exception] libnl [LGPL-2.1+] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"json-c","0.19","MIT","COPYING","json-c-0.19.tar.gz","https://s3.amazonaws.com/json-c_releases/releases","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libcurl","8.22.0","curl","COPYING","curl-8.22.0.tar.xz","https://curl.se/download","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libpcap","1.10.6","BSD-3-Clause","LICENSE","libpcap-1.10.6.tar.gz","https://www.tcpdump.org/release","bluez5_utils-headers [GPL-2.0+, LGPL-2.1+] gcc-final [GPL-3.0-with-GCC-exception] libnl [LGPL-2.1+] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"lz4","1.10.0","BSD-2-Clause (library), GPL-2.0+ (programs)","lib/LICENSE programs/COPYING","lz4-1.10.0.tar.gz","https://github.com/lz4/lz4/archive/v1.10.0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"nano","9.0","GPL-3.0+","COPYING","nano-9.0.tar.xz","https://www.nano-editor.org/dist/v9","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"nftables","1.1.7","GPL-2.0","COPYING","nftables-1.1.7.tar.xz","https://www.netfilter.org/projects/nftables/files","gcc-final [GPL-3.0-with-GCC-exception] libmnl [LGPL-2.1+] libnftnl [GPL-2.0+] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"openresolv","3.13.2","BSD-2-Clause","LICENSE","openresolv-3.13.2.tar.xz","https://github.com/rsmarples/openresolv/releases/download/v3.13.2","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"openssh","10.5p1","BSD-3-Clause, BSD-2-Clause, Public Domain","LICENCE","openssh-10.5p1.tar.gz","https://ftp.openbsd.org/pub/OpenBSD/OpenSSH/portable","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"openvpn","2.7.7","GPL-2.0","COPYRIGHT.GPL","openvpn-2.7.7.tar.gz","https://swupdate.openvpn.net/community/releases","gcc-final [GPL-3.0-with-GCC-exception] libcap-ng [GPL-2.0+ (programs), LGPL-2.1+ (library)] libnl [LGPL-2.1+] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"parted","3.6","GPL-3.0+","COPYING","parted-3.6.tar.xz","https://ftpmirror.gnu.org/parted","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] gcc-final [GPL-3.0-with-GCC-exception] kmod [LGPL-2.1+ (library)] libcap-ng [GPL-2.0+ (programs), LGPL-2.1+ (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] pcre2 [BSD-3-Clause] readline [GPL-3.0+] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill), MIT (hardlink, flock)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"picocom","2024-07","GPL-2.0+","LICENSE.txt","picocom-2024-07.tar.gz","https://gitlab.com/wsakernel/picocom/-/archive/2024-07","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"popt","1.19","MIT","COPYING","popt-1.19.tar.gz","http://ftp.rpm.org/popt/releases/popt-1.x","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"rsync","3.5.0","GPL-3.0+ with exceptions","COPYING","rsync-3.5.0.tar.gz","https://rsync.samba.org/ftp/rsync/src","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] popt [MIT] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"socat","1.8.1.3","GPL-2.0 with OpenSSL exception","README COPYING COPYING.OpenSSL","socat-1.8.1.3.tar.bz2","http://www.dest-unreach.org/socat/download","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"strace","7.1","LGPL-2.1+","COPYING LGPL-2.1-or-later","strace-7.1.tar.xz","https://github.com/strace/strace/releases/download/v7.1","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"tcpdump","4.99.6","BSD-3-Clause","LICENSE","tcpdump-4.99.6.tar.gz","https://www.tcpdump.org/release","bluez5_utils-headers [GPL-2.0+, LGPL-2.1+] gcc-final [GPL-3.0-with-GCC-exception] libnl [LGPL-2.1+] libpcap [BSD-3-Clause] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"tmux","3.6b","ISC","COPYING","tmux-3.6b.tar.gz","https://github.com/tmux/tmux/releases/download/3.6b","gcc-final [GPL-3.0-with-GCC-exception] libevent [BSD-3-Clause, OpenBSD] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"wireguard-tools","1.0.20260223","GPL-2.0","COPYING","wireguard-tools-1.0.20260223.tar.xz","https://git.zx2c4.com/wireguard-tools/snapshot","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"wireless-regdb","2026.05.30","ISC","LICENSE","wireless-regdb-2026.05.30.tar.xz","https://cdn.kernel.org/pub/software/network/wireless-regdb","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"wireless_tools","30.pre9","GPL-2.0","COPYING","wireless_tools.30.pre9.tar.gz","https://hewlettpackard.github.io/wireless-tools","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"wpa_supplicant","2.12","BSD-3-Clause","README","wpa_supplicant-2.12.tar.gz","http://w1.fi/releases","gcc-final [GPL-3.0-with-GCC-exception] libnl [LGPL-2.1+] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"aic8800-sdio-firmware","c56f910044cc854d6c553bcb9a644f3bca5a4c38","unknown","","aic8800-sdio-firmware-c56f910044cc854d6c553bcb9a644f3bca5a4c38.tar.gz","https://github.com/lxowalle/aic8800-sdio-firmware/archive/c56f910044cc854d6c553bcb9a644f3bca5a4c38","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"nanokvm-board-tools","1","GPL-3.0","LICENSE","nanokvm-board-tools-1.tar.gz","tools/nanokvm_update_edid (this repository)","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"nkos-asio","asio-1-36-0","BSL-1.0","asio/LICENSE_1_0.txt","nkos-asio-asio-1-36-0.tar.gz","https://github.com/chriskohlhoff/asio/archive/asio-1-36-0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"nkos-openvpn3","87fd40bb583cc89787c0bf4da79744f0e6d02ac3","MPL-2.0, GPL-3.0+ (NanoKVM adapter)","LICENSE.md","nkos-openvpn3-87fd40bb583cc89787c0bf4da79744f0e6d02ac3.tar.gz","https://github.com/OpenVPN/openvpn3/archive/87fd40bb583cc89787c0bf4da79744f0e6d02ac3","fmt [MIT with exception] gcc-final [GPL-3.0-with-GCC-exception] libnl [LGPL-2.1+] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] nkos-asio [BSL-1.0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"sg2002-codec-firmware","1e339b782642ce1b2c8aa81f9fdef212912a6a83","unknown","","sg2002-codec-firmware-1e339b782642ce1b2c8aa81f9fdef212912a6a83.tar.gz","https://github.com/0x754C/sg2002_codec_fw/archive/1e339b782642ce1b2c8aa81f9fdef212912a6a83","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
